name	x	isgood	wasmodified	windowsize	rate	rate_sd	OD	OD_sd	x2	x3	Exp	Rack	Tube	line	dvh_strain	mmp_strain	pairing_type	Notes
UA3.152.10.D03 & UA3.152.10.Anc	0	0	0	24	0.102418204	0.004046346	0.3834	0.00181659	0.102418204	0.3834	139	F	6	UA3.152.10	D03	Anc	Dv-E_Mm-A	CCMA
UA3.152.10.D03 & UA3.152.10.Anc	0	0	0	10	0.09370195	0.004634288	0.3914	0.001516575	0.09370195	0.3914	139	F	7	UA3.152.10	D03	Anc	Dv-E_Mm-A	CCMA
UA3.152.10.D03 & UA3.152.10.Anc	0	0	0	14	0.102694866	0.001259576	0.3954	0.002073644	0.102694866	0.3954	139	F	8	UA3.152.10	D03	Anc	Dv-E_Mm-A	CCMA
UA3.152.10.D03 & UA3.152.10.D03	0	0	0	22	0.187005397	0.002069442	0.5268	0.001788854	0.187005397	0.5268	72	F	6	UA3.152.10	D03	D03	Dv-E_Monoculture	
UA3.152.10.D03 & UA3.152.10.D03	0	0	0	13	0.182505209	0.002763574	0.5316	0.00167332	0.182505209	0.5316	72	F	7	UA3.152.10	D03	D03	Dv-E_Monoculture	
UA3.152.10.D03 & UA3.152.10.D03	0	0	0	20	0.190623512	0.002071537	0.5548	0.001643168	0.190623512	0.5548	72	F	8	UA3.152.10	D03	D03	Dv-E_Monoculture	
UA3.152.10.D03 & UA3.152.10.D03	0	0	0	9	0.141466317	0.006373967	0.546	0.001414214	0.141466317	0.546	72	G	2	UA3.152.10	D03	D03	Dv-E_Monoculture	
UA3.152.10.D03 & UA3.152.10.D03	0	0	0	14	0.148217417	0.003409067	0.5324	0.002701851	0.148217417	0.5324	72	G	3	UA3.152.10	D03	D03	Dv-E_Monoculture	
UA3.152.10.D03 & UA3.152.10.M01	1	1	1	44	0.051235062	0.002206611	0.457	0.024072806	#N/A	#N/A	40	D	7	UA3.152.10	D03	M01	Dv-E_Mm-E	CCMA
UA3.152.10.D03 & UA3.152.10.M01	0	0	0	18	0.089906902	0.001033402	0.4304	0.00219089	0.089906902	0.4304	40	D	8	UA3.152.10	D03	M01	Dv-E_Mm-E	CCMA
UA3.152.10.D03 & UA3.152.10.M01	0	0	0	14	0.114730688	0.003694366	0.4664	0.040654643	0.114730688	0.4664	40	E	1	UA3.152.10	D03	M01	Dv-E_Mm-E	CCMA
UA3.152.10.D03 & UA3.152.10.M01	0	0	0	15	0.101489653	0.001773803	0.355	0.015858752	0.101489653	0.355	40	E	2	UA3.152.10	D03	M01	Dv-E_Mm-E	CCMA
UA3.152.10.D03 & UA3.152.10.M02	0	0	0	21	0.087664681	0.001704093	0.4712	0.025430297	0.087664681	0.4712	40	E	3	UA3.152.10	D03	M02	Dv-E_Mm-E	CCMA
UA3.152.10.D03 & UA3.152.10.M02	0	0	1	30	0.107812654	0.001202464	0.4226	0.012915107	0.107812654	0.4226	40	E	4	UA3.152.10	D03	M02	Dv-E_Mm-E	CCMA
UA3.152.10.D03 & UA3.152.10.M02	0	0	0	16	0.117797197	0.002224571	0.4926	0.000894427	0.117797197	0.4926	40	E	5	UA3.152.10	D03	M02	Dv-E_Mm-E	CCMA
UA3.152.10.D03 & UA3.152.10.M02	1	1	1	43	0.047730188	0.001945132	0.3672	0.015336232	#N/A	#N/A	40	E	7	UA3.152.10	D03	M02	Dv-E_Mm-E	CCMA
UA3.152.10.D03 & UA3.152.10.M03	0	0	0	16	0.10040977	0.000990701	0.3316	0.006024948	0.10040977	0.3316	40	E	8	UA3.152.10	D03	M03	Dv-E_Mm-E	CCMA
UA3.152.10.D03 & UA3.152.10.M03	0	0	0	21	0.111266075	0.002143502	0.461	0.004527693	0.111266075	0.461	40	F	1	UA3.152.10	D03	M03	Dv-E_Mm-E	CCMA
UA3.152.10.D03 & UA3.152.10.M03	0	0	0	15	0.109164772	0.002139364	0.364	0.002738613	0.109164772	0.364	40	F	2	UA3.152.10	D03	M03	Dv-E_Mm-E	CCMA
UA3.152.10.D03 & UA3.152.10.M03	0	0	0	13	0.116124787	0.002274121	0.47	0.057649805	0.116124787	0.47	40	F	3	UA3.152.10	D03	M03	Dv-E_Mm-E	CCMA
