sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8	assembly	fasta_file
single-cells-dvh-03-60	single-cells-dvh-03-60	single-cell # 60 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 60 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-60_S150_L001_R1_001.fastq.gz	DvH-03-60_S150_L001_R2_001.fastq.gz	DvH-03-60_S150_L002_R1_001.fastq.gz	DvH-03-60_S150_L002_R2_001.fastq.gz	DvH-03-60_S150_L003_R1_001.fastq.gz	DvH-03-60_S150_L003_R2_001.fastq.gz	DvH-03-60_S150_L004_R1_001.fastq.gz	DvH-03-60_S150_L004_R2_001.fastq.gz		
single-cells-dvh-03-61	single-cells-dvh-03-61	single-cell # 61 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 61 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-61_S151_L001_R1_001.fastq.gz	DvH-03-61_S151_L001_R2_001.fastq.gz	DvH-03-61_S151_L002_R1_001.fastq.gz	DvH-03-61_S151_L002_R2_001.fastq.gz	DvH-03-61_S151_L003_R1_001.fastq.gz	DvH-03-61_S151_L003_R2_001.fastq.gz	DvH-03-61_S151_L004_R1_001.fastq.gz	DvH-03-61_S151_L004_R2_001.fastq.gz		
single-cells-dvh-03-62	single-cells-dvh-03-62	single-cell # 62 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 62 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-62_S152_L001_R1_001.fastq.gz	DvH-03-62_S152_L001_R2_001.fastq.gz	DvH-03-62_S152_L002_R1_001.fastq.gz	DvH-03-62_S152_L002_R2_001.fastq.gz	DvH-03-62_S152_L003_R1_001.fastq.gz	DvH-03-62_S152_L003_R2_001.fastq.gz	DvH-03-62_S152_L004_R1_001.fastq.gz	DvH-03-62_S152_L004_R2_001.fastq.gz		
single-cells-dvh-03-63	single-cells-dvh-03-63	single-cell # 63 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 63 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-63_S153_L001_R1_001.fastq.gz	DvH-03-63_S153_L001_R2_001.fastq.gz	DvH-03-63_S153_L002_R1_001.fastq.gz	DvH-03-63_S153_L002_R2_001.fastq.gz	DvH-03-63_S153_L003_R1_001.fastq.gz	DvH-03-63_S153_L003_R2_001.fastq.gz	DvH-03-63_S153_L004_R1_001.fastq.gz	DvH-03-63_S153_L004_R2_001.fastq.gz		
single-cells-dvh-03-64	single-cells-dvh-03-64	single-cell # 64 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 64 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-64_S154_L001_R1_001.fastq.gz	DvH-03-64_S154_L001_R2_001.fastq.gz	DvH-03-64_S154_L002_R1_001.fastq.gz	DvH-03-64_S154_L002_R2_001.fastq.gz	DvH-03-64_S154_L003_R1_001.fastq.gz	DvH-03-64_S154_L003_R2_001.fastq.gz	DvH-03-64_S154_L004_R1_001.fastq.gz	DvH-03-64_S154_L004_R2_001.fastq.gz		
single-cells-dvh-03-65	single-cells-dvh-03-65	single-cell # 65 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 65 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-65_S155_L001_R1_001.fastq.gz	DvH-03-65_S155_L001_R2_001.fastq.gz	DvH-03-65_S155_L002_R1_001.fastq.gz	DvH-03-65_S155_L002_R2_001.fastq.gz	DvH-03-65_S155_L003_R1_001.fastq.gz	DvH-03-65_S155_L003_R2_001.fastq.gz	DvH-03-65_S155_L004_R1_001.fastq.gz	DvH-03-65_S155_L004_R2_001.fastq.gz		
single-cells-dvh-03-66	single-cells-dvh-03-66	single-cell # 66 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 66 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-66_S156_L001_R1_001.fastq.gz	DvH-03-66_S156_L001_R2_001.fastq.gz	DvH-03-66_S156_L002_R1_001.fastq.gz	DvH-03-66_S156_L002_R2_001.fastq.gz	DvH-03-66_S156_L003_R1_001.fastq.gz	DvH-03-66_S156_L003_R2_001.fastq.gz	DvH-03-66_S156_L004_R1_001.fastq.gz	DvH-03-66_S156_L004_R2_001.fastq.gz		
single-cells-dvh-03-67	single-cells-dvh-03-67	single-cell # 67 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 67 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-67_S157_L001_R1_001.fastq.gz	DvH-03-67_S157_L001_R2_001.fastq.gz	DvH-03-67_S157_L002_R1_001.fastq.gz	DvH-03-67_S157_L002_R2_001.fastq.gz	DvH-03-67_S157_L003_R1_001.fastq.gz	DvH-03-67_S157_L003_R2_001.fastq.gz	DvH-03-67_S157_L004_R1_001.fastq.gz	DvH-03-67_S157_L004_R2_001.fastq.gz		
single-cells-dvh-03-68	single-cells-dvh-03-68	single-cell # 68 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 68 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-68_S158_L001_R1_001.fastq.gz	DvH-03-68_S158_L001_R2_001.fastq.gz	DvH-03-68_S158_L002_R1_001.fastq.gz	DvH-03-68_S158_L002_R2_001.fastq.gz	DvH-03-68_S158_L003_R1_001.fastq.gz	DvH-03-68_S158_L003_R2_001.fastq.gz	DvH-03-68_S158_L004_R1_001.fastq.gz	DvH-03-68_S158_L004_R2_001.fastq.gz		
single-cells-dvh-03-69	single-cells-dvh-03-69	single-cell # 69 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 69 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-69_S159_L001_R1_001.fastq.gz	DvH-03-69_S159_L001_R2_001.fastq.gz	DvH-03-69_S159_L002_R1_001.fastq.gz	DvH-03-69_S159_L002_R2_001.fastq.gz	DvH-03-69_S159_L003_R1_001.fastq.gz	DvH-03-69_S159_L003_R2_001.fastq.gz	DvH-03-69_S159_L004_R1_001.fastq.gz	DvH-03-69_S159_L004_R2_001.fastq.gz		
single-cells-dvh-03-7	single-cells-dvh-03-7	single-cell # 7 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 7 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-7_S160_L001_R1_001.fastq.gz	DvH-03-7_S160_L001_R2_001.fastq.gz	DvH-03-7_S160_L002_R1_001.fastq.gz	DvH-03-7_S160_L002_R2_001.fastq.gz	DvH-03-7_S160_L003_R1_001.fastq.gz	DvH-03-7_S160_L003_R2_001.fastq.gz	DvH-03-7_S160_L004_R1_001.fastq.gz	DvH-03-7_S160_L004_R2_001.fastq.gz		
single-cells-dvh-03-70	single-cells-dvh-03-70	single-cell # 70 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 70 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-70_S161_L001_R1_001.fastq.gz	DvH-03-70_S161_L001_R2_001.fastq.gz	DvH-03-70_S161_L002_R1_001.fastq.gz	DvH-03-70_S161_L002_R2_001.fastq.gz	DvH-03-70_S161_L003_R1_001.fastq.gz	DvH-03-70_S161_L003_R2_001.fastq.gz	DvH-03-70_S161_L004_R1_001.fastq.gz	DvH-03-70_S161_L004_R2_001.fastq.gz		
single-cells-dvh-03-71	single-cells-dvh-03-71	single-cell # 71 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 71 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-71_S162_L001_R1_001.fastq.gz	DvH-03-71_S162_L001_R2_001.fastq.gz	DvH-03-71_S162_L002_R1_001.fastq.gz	DvH-03-71_S162_L002_R2_001.fastq.gz	DvH-03-71_S162_L003_R1_001.fastq.gz	DvH-03-71_S162_L003_R2_001.fastq.gz	DvH-03-71_S162_L004_R1_001.fastq.gz	DvH-03-71_S162_L004_R2_001.fastq.gz		
single-cells-dvh-03-72	single-cells-dvh-03-72	single-cell # 72 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 72 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-72_S163_L001_R1_001.fastq.gz	DvH-03-72_S163_L001_R2_001.fastq.gz	DvH-03-72_S163_L002_R1_001.fastq.gz	DvH-03-72_S163_L002_R2_001.fastq.gz	DvH-03-72_S163_L003_R1_001.fastq.gz	DvH-03-72_S163_L003_R2_001.fastq.gz	DvH-03-72_S163_L004_R1_001.fastq.gz	DvH-03-72_S163_L004_R2_001.fastq.gz		
single-cells-dvh-03-73	single-cells-dvh-03-73	single-cell # 73 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 73 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-73_S164_L001_R1_001.fastq.gz	DvH-03-73_S164_L001_R2_001.fastq.gz	DvH-03-73_S164_L002_R1_001.fastq.gz	DvH-03-73_S164_L002_R2_001.fastq.gz	DvH-03-73_S164_L003_R1_001.fastq.gz	DvH-03-73_S164_L003_R2_001.fastq.gz	DvH-03-73_S164_L004_R1_001.fastq.gz	DvH-03-73_S164_L004_R2_001.fastq.gz		
single-cells-dvh-03-74	single-cells-dvh-03-74	single-cell # 74 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 74 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-74_S165_L001_R1_001.fastq.gz	DvH-03-74_S165_L001_R2_001.fastq.gz	DvH-03-74_S165_L002_R1_001.fastq.gz	DvH-03-74_S165_L002_R2_001.fastq.gz	DvH-03-74_S165_L003_R1_001.fastq.gz	DvH-03-74_S165_L003_R2_001.fastq.gz	DvH-03-74_S165_L004_R1_001.fastq.gz	DvH-03-74_S165_L004_R2_001.fastq.gz		
single-cells-dvh-03-75	single-cells-dvh-03-75	single-cell # 75 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 75 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-75_S166_L001_R1_001.fastq.gz	DvH-03-75_S166_L001_R2_001.fastq.gz	DvH-03-75_S166_L002_R1_001.fastq.gz	DvH-03-75_S166_L002_R2_001.fastq.gz	DvH-03-75_S166_L003_R1_001.fastq.gz	DvH-03-75_S166_L003_R2_001.fastq.gz	DvH-03-75_S166_L004_R1_001.fastq.gz	DvH-03-75_S166_L004_R2_001.fastq.gz		
single-cells-dvh-03-76	single-cells-dvh-03-76	single-cell # 76 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 76 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-76_S167_L001_R1_001.fastq.gz	DvH-03-76_S167_L001_R2_001.fastq.gz	DvH-03-76_S167_L002_R1_001.fastq.gz	DvH-03-76_S167_L002_R2_001.fastq.gz	DvH-03-76_S167_L003_R1_001.fastq.gz	DvH-03-76_S167_L003_R2_001.fastq.gz	DvH-03-76_S167_L004_R1_001.fastq.gz	DvH-03-76_S167_L004_R2_001.fastq.gz		
single-cells-dvh-03-77	single-cells-dvh-03-77	single-cell # 77 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 77 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-77_S168_L001_R1_001.fastq.gz	DvH-03-77_S168_L001_R2_001.fastq.gz	DvH-03-77_S168_L002_R1_001.fastq.gz	DvH-03-77_S168_L002_R2_001.fastq.gz	DvH-03-77_S168_L003_R1_001.fastq.gz	DvH-03-77_S168_L003_R2_001.fastq.gz	DvH-03-77_S168_L004_R1_001.fastq.gz	DvH-03-77_S168_L004_R2_001.fastq.gz		
single-cells-dvh-03-78	single-cells-dvh-03-78	single-cell # 78 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 78 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-78_S169_L001_R1_001.fastq.gz	DvH-03-78_S169_L001_R2_001.fastq.gz	DvH-03-78_S169_L002_R1_001.fastq.gz	DvH-03-78_S169_L002_R2_001.fastq.gz	DvH-03-78_S169_L003_R1_001.fastq.gz	DvH-03-78_S169_L003_R2_001.fastq.gz	DvH-03-78_S169_L004_R1_001.fastq.gz	DvH-03-78_S169_L004_R2_001.fastq.gz		
single-cells-dvh-03-79	single-cells-dvh-03-79	single-cell # 79 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 79 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-79_S170_L001_R1_001.fastq.gz	DvH-03-79_S170_L001_R2_001.fastq.gz	DvH-03-79_S170_L002_R1_001.fastq.gz	DvH-03-79_S170_L002_R2_001.fastq.gz	DvH-03-79_S170_L003_R1_001.fastq.gz	DvH-03-79_S170_L003_R2_001.fastq.gz	DvH-03-79_S170_L004_R1_001.fastq.gz	DvH-03-79_S170_L004_R2_001.fastq.gz		
single-cells-dvh-03-8	single-cells-dvh-03-8	single-cell # 8 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 8 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-8_S171_L001_R1_001.fastq.gz	DvH-03-8_S171_L001_R2_001.fastq.gz	DvH-03-8_S171_L002_R1_001.fastq.gz	DvH-03-8_S171_L002_R2_001.fastq.gz	DvH-03-8_S171_L003_R1_001.fastq.gz	DvH-03-8_S171_L003_R2_001.fastq.gz	DvH-03-8_S171_L004_R1_001.fastq.gz	DvH-03-8_S171_L004_R2_001.fastq.gz		
single-cells-dvh-03-80	single-cells-dvh-03-80	single-cell # 80 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 80 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-80_S172_L001_R1_001.fastq.gz	DvH-03-80_S172_L001_R2_001.fastq.gz	DvH-03-80_S172_L002_R1_001.fastq.gz	DvH-03-80_S172_L002_R2_001.fastq.gz	DvH-03-80_S172_L003_R1_001.fastq.gz	DvH-03-80_S172_L003_R2_001.fastq.gz	DvH-03-80_S172_L004_R1_001.fastq.gz	DvH-03-80_S172_L004_R2_001.fastq.gz		
single-cells-dvh-03-81	single-cells-dvh-03-81	single-cell # 81 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 81 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-81_S173_L001_R1_001.fastq.gz	DvH-03-81_S173_L001_R2_001.fastq.gz	DvH-03-81_S173_L002_R1_001.fastq.gz	DvH-03-81_S173_L002_R2_001.fastq.gz	DvH-03-81_S173_L003_R1_001.fastq.gz	DvH-03-81_S173_L003_R2_001.fastq.gz	DvH-03-81_S173_L004_R1_001.fastq.gz	DvH-03-81_S173_L004_R2_001.fastq.gz		
single-cells-dvh-03-82	single-cells-dvh-03-82	single-cell # 82 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 82 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-82_S174_L001_R1_001.fastq.gz	DvH-03-82_S174_L001_R2_001.fastq.gz	DvH-03-82_S174_L002_R1_001.fastq.gz	DvH-03-82_S174_L002_R2_001.fastq.gz	DvH-03-82_S174_L003_R1_001.fastq.gz	DvH-03-82_S174_L003_R2_001.fastq.gz	DvH-03-82_S174_L004_R1_001.fastq.gz	DvH-03-82_S174_L004_R2_001.fastq.gz		
single-cells-dvh-03-83	single-cells-dvh-03-83	single-cell # 83 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 83 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-83_S175_L001_R1_001.fastq.gz	DvH-03-83_S175_L001_R2_001.fastq.gz	DvH-03-83_S175_L002_R1_001.fastq.gz	DvH-03-83_S175_L002_R2_001.fastq.gz	DvH-03-83_S175_L003_R1_001.fastq.gz	DvH-03-83_S175_L003_R2_001.fastq.gz	DvH-03-83_S175_L004_R1_001.fastq.gz	DvH-03-83_S175_L004_R2_001.fastq.gz		
single-cells-dvh-03-84	single-cells-dvh-03-84	single-cell # 84 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 84 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-84_S176_L001_R1_001.fastq.gz	DvH-03-84_S176_L001_R2_001.fastq.gz	DvH-03-84_S176_L002_R1_001.fastq.gz	DvH-03-84_S176_L002_R2_001.fastq.gz	DvH-03-84_S176_L003_R1_001.fastq.gz	DvH-03-84_S176_L003_R2_001.fastq.gz	DvH-03-84_S176_L004_R1_001.fastq.gz	DvH-03-84_S176_L004_R2_001.fastq.gz		
single-cells-dvh-03-85	single-cells-dvh-03-85	single-cell # 85 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 85 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-85_S177_L001_R1_001.fastq.gz	DvH-03-85_S177_L001_R2_001.fastq.gz	DvH-03-85_S177_L002_R1_001.fastq.gz	DvH-03-85_S177_L002_R2_001.fastq.gz	DvH-03-85_S177_L003_R1_001.fastq.gz	DvH-03-85_S177_L003_R2_001.fastq.gz	DvH-03-85_S177_L004_R1_001.fastq.gz	DvH-03-85_S177_L004_R2_001.fastq.gz		
single-cells-dvh-03-86	single-cells-dvh-03-86	single-cell # 86 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 86 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-86_S178_L001_R1_001.fastq.gz	DvH-03-86_S178_L001_R2_001.fastq.gz	DvH-03-86_S178_L002_R1_001.fastq.gz	DvH-03-86_S178_L002_R2_001.fastq.gz	DvH-03-86_S178_L003_R1_001.fastq.gz	DvH-03-86_S178_L003_R2_001.fastq.gz	DvH-03-86_S178_L004_R1_001.fastq.gz	DvH-03-86_S178_L004_R2_001.fastq.gz		
single-cells-dvh-03-87	single-cells-dvh-03-87	single-cell # 87 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 87 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-87_S179_L001_R1_001.fastq.gz	DvH-03-87_S179_L001_R2_001.fastq.gz	DvH-03-87_S179_L002_R1_001.fastq.gz	DvH-03-87_S179_L002_R2_001.fastq.gz	DvH-03-87_S179_L003_R1_001.fastq.gz	DvH-03-87_S179_L003_R2_001.fastq.gz	DvH-03-87_S179_L004_R1_001.fastq.gz	DvH-03-87_S179_L004_R2_001.fastq.gz		
single-cells-dvh-03-88	single-cells-dvh-03-88	single-cell # 88 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 88 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-88_S180_L001_R1_001.fastq.gz	DvH-03-88_S180_L001_R2_001.fastq.gz	DvH-03-88_S180_L002_R1_001.fastq.gz	DvH-03-88_S180_L002_R2_001.fastq.gz	DvH-03-88_S180_L003_R1_001.fastq.gz	DvH-03-88_S180_L003_R2_001.fastq.gz	DvH-03-88_S180_L004_R1_001.fastq.gz	DvH-03-88_S180_L004_R2_001.fastq.gz		
single-cells-dvh-03-89	single-cells-dvh-03-89	single-cell # 89 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 89 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-89_S181_L001_R1_001.fastq.gz	DvH-03-89_S181_L001_R2_001.fastq.gz	DvH-03-89_S181_L002_R1_001.fastq.gz	DvH-03-89_S181_L002_R2_001.fastq.gz	DvH-03-89_S181_L003_R1_001.fastq.gz	DvH-03-89_S181_L003_R2_001.fastq.gz	DvH-03-89_S181_L004_R1_001.fastq.gz	DvH-03-89_S181_L004_R2_001.fastq.gz		
single-cells-dvh-03-9	single-cells-dvh-03-9	single-cell # 9 of Desulfovibrio EPD 03 of UE3 co-culture with Methanococcus at 1000 generation	WGS	GENOMIC SINGLE CELL	PCR	paired	ILLUMINA	NextSeq 500	Variant identification through sequencing of Genomic DNA collected from sorted single-cell # 9 of Desulfovibrio vulgaris from EPD 03 of UE3 co-culture with Methanococcus maripaludis after evolving for 1000 generation	fastq	DvH-03-9_S182_L001_R1_001.fastq.gz	DvH-03-9_S182_L001_R2_001.fastq.gz	DvH-03-9_S182_L002_R1_001.fastq.gz	DvH-03-9_S182_L002_R2_001.fastq.gz	DvH-03-9_S182_L003_R1_001.fastq.gz	DvH-03-9_S182_L003_R2_001.fastq.gz	DvH-03-9_S182_L004_R1_001.fastq.gz	DvH-03-9_S182_L004_R2_001.fastq.gz		
