File	sample.id	experiment	org	sample	no	tmp1
Early-gen/results/mmp/UA3_76/alignment_results/UA3_76_marked.bam	Early-gen-UA3_76	Early-gen	mmp	UA3_76	UA3	76
Early-gen/results/mmp/UE3_118/alignment_results/UE3_118_marked.bam	Early-gen-UE3_118	Early-gen	mmp	UE3_118	UE3	118
Early-gen/results/mmp/UE3_15/alignment_results/UE3_15_marked.bam	Early-gen-UE3_15	Early-gen	mmp	UE3_15	UE3	15
Early-gen/results/mmp/UE3_45/alignment_results/UE3_45_marked.bam	Early-gen-UE3_45	Early-gen	mmp	UE3_45	UE3	45
Early-gen/results/mmp/UE3_76/alignment_results/UE3_76_marked.bam	Early-gen-UE3_76	Early-gen	mmp	UE3_76	UE3	76
Early-gen/results/mmp/UR1_118/alignment_results/UR1_118_marked.bam	Early-gen-UR1_118	Early-gen	mmp	UR1_118	UR1	118
Early-gen/results/mmp/UR1_15/alignment_results/UR1_15_marked.bam	Early-gen-UR1_15	Early-gen	mmp	UR1_15	UR1	15
Early-gen/results/mmp/UR1_45/alignment_results/UR1_45_marked.bam	Early-gen-UR1_45	Early-gen	mmp	UR1_45	UR1	45
Early-gen/results/mmp/UR1_76/alignment_results/UR1_76_marked.bam	Early-gen-UR1_76	Early-gen	mmp	UR1_76	UR1	76
Early-gen/results/mmp/US1_118/alignment_results/US1_118_marked.bam	Early-gen-US1_118	Early-gen	mmp	US1_118	US1	118
Early-gen/results/mmp/US1_15/alignment_results/US1_15_marked.bam	Early-gen-US1_15	Early-gen	mmp	US1_15	US1	15
Early-gen/results/mmp/US1_45/alignment_results/US1_45_marked.bam	Early-gen-US1_45	Early-gen	mmp	US1_45	US1	45
Early-gen/results/mmp/US1_76/alignment_results/US1_76_marked.bam	Early-gen-US1_76	Early-gen	mmp	US1_76	US1	76
