# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	327278	327910	+					cbiC		MMP0330	633		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	327278	327910	+	CAF29886.1			Precorrin-8X methylmutase CbiC/CobH	cbiC		MMP0330	633	210	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	327912	328304	-							MMP0331	393		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	327912	328304	-	CAF29887.1			Conserved hypothetical protein			MMP0331	393	130	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	328459	330339	+							MMP0332	1881		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	328459	330339	+	CAF29888.1			conserved hypothetical protein			MMP0332	1881	626	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	330681	331394	+							MMP0333	714		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	330681	331394	+	CAF29889.1			Conserved hypothetical protein			MMP0333	714	237	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	331555	332259	+							MMP0334	705		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	331555	332259	+	CAF29890.1			rRNA methyltransferase related protein			MMP0334	705	234	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	332330	332743	+							MMP0335	414		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	332330	332743	+	CAF29891.1			conserved hypothetical protein			MMP0335	414	137	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	332791	333198	-					hjc		MMP0336	408		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	332791	333198	-	CAF29892.1			Archaeal Holliday junction resolvase	hjc		MMP0336	408	135	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	333215	333661	-							MMP0337	447		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	333215	333661	-	CAF29893.1			conserved hypothetical protein			MMP0337	447	148	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	333690	334742	-							MMP0338	1053		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	333690	334742	-	CAF29894.1			phosphoribosyltransferase related protein			MMP0338	1053	350	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	334861	335376	+							MMP0339	516		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	334861	335376	+	CAF29895.1			NUDIX hydrolase			MMP0339	516	171	
gene	tRNA	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	335487	335564	+					tRNA-Arg1		RNA_10	78		
tRNA		GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	335487	335564	+				tRNA-Arg	tRNA-Arg1		RNA_10	78		
gene	tRNA	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	335592	335666	+					tRNA-Glu1		RNA_11	75		
tRNA		GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	335592	335666	+				tRNA-Glu	tRNA-Glu1		RNA_11	75		
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	335879	337588	+					pycB		MMP0340	1710		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	335879	337588	+	CAF29896.1			pyruvate carboxylase subunit B	pycB		MMP0340	1710	569	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	337634	339139	+					pycA		MMP0341	1506		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	337634	339139	+	CAF29897.1			pyruvate carboxylase subunit A	pycA		MMP0341	1506	501	
gene	tRNA	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	339245	339321	+					tRNA-Val1		RNA_12	77		
tRNA		GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	339245	339321	+				tRNA-Val	tRNA-Val1		RNA_12	77		
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	339432	339866	+							MMP0342	435		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	339432	339866	+	CAF29898.1			Conserved hypothetical protein			MMP0342	435	144	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	339867	340538	-							MMP0343	672		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	339867	340538	-	CAF29899.1			conserved hypothetical protein			MMP0343	672	223	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	340591	341472	-							MMP0344	882		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	340591	341472	-	CAF29900.1			conserved hypothetical archaeal protein			MMP0344	882	293	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	341597	342424	-							MMP0345	828		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	341597	342424	-	CAF29901.1			Conserved hypothetical protein			MMP0345	828	275	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	342467	343588	-							MMP0346	1122		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	342467	343588	-	CAF29902.1			2-hydroxyglutaryl-CoA dehydratase (Component D) related protein			MMP0346	1122	373	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	343814	344128	-							MMP0347	315		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	343814	344128	-	CAF29903.1			hypothetical protein			MMP0347	315	104	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	344219	344812	-							MMP0348	594		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	344219	344812	-	CAF29904.1			Conserved hypothetical protein			MMP0348	594	197	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	344939	345679	-							MMP0349	741		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	344939	345679	-	CAF29905.1			2-hydroxyglutaryl-CoA dehydratase (Component A) related protein			MMP0349	741	246	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	345820	346410	+							MMP0350	591		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	345820	346410	+	CAF29906.1			Bacterial transferase hexapeptide repeat			MMP0350	591	196	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	346412	347515	+					aspB-like1		MMP0351	1104		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	346412	347515	+	CAF29907.1			DegT/DnrJ/EryC1/StrS aminotransferase	aspB-like1		MMP0351	1104	367	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	347515	348450	+							MMP0352	936		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	347515	348450	+	CAF29908.1			Putative oxidoreductase			MMP0352	936	311	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	348468	349775	+							MMP0353	1308		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	348468	349775	+	CAF29909.1			UDP-glucose/GDP-mannose dehydrogenase Related protein			MMP0353	1308	435	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	349799	351034	+							MMP0354	1236		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	349799	351034	+	CAF29910.1			putative oligosaccharide transporter			MMP0354	1236	411	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	351015	352514	-							MMP0355	1500		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	351015	352514	-	CAF29911.1			conserved hypothetical protein			MMP0355	1500	499	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	352524	353708	-							MMP0356	1185		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	352524	353708	-	CAF29912.1			Glycosyl transferase, group 1			MMP0356	1185	394	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	353715	354788	-							MMP0357	1074		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	353715	354788	-	CAF29913.1			UDP-N-acetylglucosamine 2-epimerase			MMP0357	1074	357	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	354790	355911	-							MMP0358	1122		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	354790	355911	-	CAF29914.1			conserved hypothetical archaeal protein			MMP0358	1122	373	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	355921	356598	-							MMP0359	678		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	355921	356598	-	CAF29915.1			Glycosyl transferase, family 2			MMP0359	678	225	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	356729	357700	+							MMP0360	972		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	356729	357700	+	CAF29916.1			conserved hypothetical protein			MMP0360	972	323	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	357702	358256	-							MMP0361	555		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	357702	358256	-	CAF29917.1			hypothetical protein			MMP0361	555	184	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	358253	359554	-							MMP0362	1302		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	358253	359554	-	CAF29918.1			Conserved Hypothetical Protein			MMP0362	1302	433	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	359558	360499	-							MMP0363	942		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	359558	360499	-	CAF29919.1			methanol dehydrogenase regulatory protein related protein			MMP0363	942	313	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	360474	361472	-							MMP0364	999		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	360474	361472	-	CAF29920.1			conserved hypothetical protein			MMP0364	999	332	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	361472	363307	-							MMP0365	1836		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	361472	363307	-	CAF29921.1			conserved hypothetical protein			MMP0365	1836	611	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	363355	364086	+							MMP0366	732		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	363355	364086	+	CAF29922.1			conserved hypothetical protein			MMP0366	732	243	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	364087	364338	+							MMP0367	252		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	364087	364338	+	CAF29923.1			conserved hypothetical protein			MMP0367	252	83	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	364502	364705	+							MMP0368	204		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	364502	364705	+	CAF29924.1			conserved hypothetical protein			MMP0368	204	67	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	364974	366938	+							MMP0369	1965		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	364974	366938	+	CAF29925.1			conserved hypothetical protein			MMP0369	1965	654	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	366983	368389	+							MMP0370	1407		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	366983	368389	+	CAF29926.1			hypothetical protein			MMP0370	1407	468	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	368523	369152	+							MMP0371	630		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	368523	369152	+	CAF29927.1			conserved hypothetical protein			MMP0371	630	209	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	369232	370065	-					mtd		MMP0372	834		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	369232	370065	-	CAF29928.1			F420-dependent methylenetetrahydromethanopterin dehydrogenase	mtd		MMP0372	834	277	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	370269	370517	+							MMP0373	249		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	370269	370517	+	CAF29929.1			hypothetical protein			MMP0373	249	82	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	370557	371087	-							MMP0374	531		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	370557	371087	-	CAF29930.1			conserved hypothetical protein			MMP0374	531	176	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	371172	372545	+							MMP0375	1374		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	371172	372545	+	CAF29931.1			conserved hypothetical protein			MMP0375	1374	457	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	373010	374194	-							MMP0376	1185		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	373010	374194	-	CAF29932.1			conserved hypothetical protein			MMP0376	1185	394	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	374200	374844	-							MMP0377	645		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	374200	374844	-	CAF29933.1			isoleucyl-tRNA synthetase related			MMP0377	645	214	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	374873	376156	-							MMP0378	1284		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	374873	376156	-	CAF29934.1			Atrazine chlorohydrolase related protein			MMP0378	1284	427	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	376162	376485	-							MMP0379	324		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	376162	376485	-	CAF29935.1			conserved hypothetical protein			MMP0379	324	107	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	376490	378844	-					dnaB		MMP0380	2355		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	376490	378844	-	CAF29936.1			DNA polymerase family B	dnaB		MMP0380	2355	784	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	379027	379512	+							MMP0381	486		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	379027	379512	+	CAF29937.1			3-isopropylmalate dehydratase small subunit Related			MMP0381	486	161	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	379591	381363	+							MMP0382	1773		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	379591	381363	+	CAF29938.1			RNase L inhibitor			MMP0382	1773	590	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	381781	383508	+					slp		MMP0383	1728		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	381781	383508	+	CAF29939.1			S-layer protein	slp		MMP0383	1728	575	
gene	tRNA	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	383722	383800	-					tRNA-Met4		RNA_34	79		
tRNA		GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	383722	383800	-				tRNA-Met	tRNA-Met4		RNA_34	79		
gene	tRNA	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	383887	383965	-					tRNA-Met3		RNA_33	79		
tRNA		GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	383887	383965	-				tRNA-Met	tRNA-Met3		RNA_33	79		
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	384080	384262	-							MMP0384	183		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	384080	384262	-	CAF29940.1			conserved hypothetical protein			MMP0384	183	60	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	384368	385045	-					pyrH		MMP0385	678		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	384368	385045	-	CAF29941.1			uridylate kinase	pyrH		MMP0385	678	225	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	385282	385485	-					HMmA		MMP0386	204		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	385282	385485	-	CAF29942.1			archaeal histone A	HMmA		MMP0386	204	67	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	385673	386296	+							MMP0387	624		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	385673	386296	+	CAF29943.1			microsomal signal peptidase 21 KD subunit			MMP0387	624	207	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	386328	387500	-							MMP0388	1173		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	386328	387500	-	CAF29944.1			geranylgeranyl bacterial chlorophyll reductase related			MMP0388	1173	390	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	387503	387667	-							MMP0389	165		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	387503	387667	-	CAF29945.1			ferredoxin			MMP0389	165	54	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	387754	388413	-							MMP0390	660		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	387754	388413	-	CAF29946.1			conserved hypothetical protein			MMP0390	660	219	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	388479	389627	-					aspC		MMP0391	1149		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	388479	389627	-	CAF29947.1			Aspartate aminotransferase	aspC		MMP0391	1149	382	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	389726	391060	-					purD		MMP0392	1335		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	389726	391060	-	CAF29948.1			Phosphoribosylamine--glycine ligase	purD		MMP0392	1335	444	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	391261	391776	-							MMP0393	516		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	391261	391776	-	CAF29949.1			phosphoesterase-like protein			MMP0393	516	171	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	391835	392569	-					hemD		MMP0394	735		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	391835	392569	-	CAF29950.1			Uroporphyrinogen III synthase	hemD		MMP0394	735	244	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	392585	392863	-							MMP0395	279		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	392585	392863	-	CAF29951.1			hypothetical protein			MMP0395	279	92	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	393105	394397	+					eno		MMP0396	1293		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	393105	394397	+	CAF29952.1			Enolase	eno		MMP0396	1293	430	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	394599	397277	+					alaS		MMP0397	2679		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	394599	397277	+	CAF29953.1			Alanyl-tRNA synthetase	alaS		MMP0397	2679	892	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	397319	398191	+							MMP0398	873		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	397319	398191	+	CAF29954.1			Conserved hypothetical archaeal protein			MMP0398	873	290	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	398202	399059	+					htpX		MMP0399	858		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	398202	399059	+	CAF29955.1			Peptidase family M48	htpX		MMP0399	858	285	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	399069	399722	+					ehbQ		MMP0400	654		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	399069	399722	+	CAF29956.1			Conserved hypothetical protein	ehbQ		MMP0400	654	217	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	399758	400696	+					metE		MMP0401	939		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	399758	400696	+	CAF29957.1			5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	metE		MMP0401	939	312	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	400715	402076	+							MMP0402	1362		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	400715	402076	+	CAF29958.1			Conserved hypothetical Archael protein			MMP0402	1362	453	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	402378	403463	+							MMP0403	1086		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	402378	403463	+	CAF29959.1			Conserved hypothetical Archael protein			MMP0403	1086	361	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	403481	404410	+					cofD		MMP0404	930		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	403481	404410	+	CAF29960.1			LPPG:FO 2-phospho-(S)-lactate transferase	cofD		MMP0404	930	309	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	404516	405316	+					gch3		MMP0405	801		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	404516	405316	+	CAF29961.1			GTP cyclohydrolase III	gch3		MMP0405	801	266	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	405344	406114	+							MMP0406	771		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	405344	406114	+	CAF29962.1			Putative TIM-barrel protein			MMP0406	771	256	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	406129	406542	-							MMP0407	414		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	406129	406542	-	CAF29963.1			conserved hypothetical archaeal protein with 2 CBS domains.			MMP0407	414	137	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	406701	407621	+							MMP0408	921		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	406701	407621	+	CAF29964.1			H+-transporting two-sector ATPase, A subunit			MMP0408	921	306	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	407641	408801	-							MMP0409	1161		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	407641	408801	-	CAF29965.1			conserved hypothetical archaeal protein			MMP0409	1161	386	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	408933	409796	+					prsA		MMP0410	864		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	408933	409796	+	CAF29966.1			Phosphoribosyltransferase:Purine/pyrimidine phosphoribosyl transferase	prsA		MMP0410	864	287	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	409867	410370	-					comD		MMP0411	504		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	409867	410370	-	CAF29967.1			Sulfopyruvate decarboxylase subunit alpha	comD		MMP0411	504	167	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	410405	411682	+							MMP0412	1278		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	410405	411682	+	CAF29968.1			Protein of unknown function UPF0004:Deoxyribonuclease/rho motif-related TRAM			MMP0412	1278	425	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	411833	414028	+							MMP0413	2196		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	411833	414028	+	CAF29969.1			Conserved hypothetical protein			MMP0413	2196	731	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	414091	415959	-					thrS		MMP0414	1869		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	414091	415959	-	CAF29970.1			Threonyl-tRNA synthetase	thrS		MMP0414	1869	622	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	416131	417777	+							MMP0415	1647		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	416131	417777	+	CAF29971.1			Eukaryotic protein kinase:Glycoprotease (M22) metalloprotease:Tyrosine protein kinase			MMP0415	1647	548	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	417866	418462	+							MMP0416	597		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	417866	418462	+	CAF29972.1			conserved hypothetical protein			MMP0416	597	198	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	418670	419395	+					hisA		MMP0417	726		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	418670	419395	+	CAF29973.1			1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	hisA		MMP0417	726	241	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	419415	420323	+							MMP0418	909		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	419415	420323	+	CAF29974.1			Carbohydrate kinase, PfkB			MMP0418	909	302	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	420466	421977	+							MMP0419	1512		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	420466	421977	+	CAF29975.1			Sodium:neurotransmitter symporter			MMP0419	1512	503	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	422287	423252	+							MMP0420	966		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	422287	423252	+	CAF29976.1			CBS domain Related protein			MMP0420	966	321	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	423270	424184	+							MMP0421	915		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	423270	424184	+	CAF29977.1			conserved hypothetical protein			MMP0421	915	304	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	424215	424667	+							MMP0422	453		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	424215	424667	+	CAF29978.1			conserved archael hypothetical protein			MMP0422	453	150	
gene	protein_coding	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	424782	426188	+							MMP0423	1407		
CDS	with_protein	GCA_000011585.1	Primary Assembly	chromosome		BX950229.1	424782	426188	+	CAF29979.1			hypothetical			MMP0423	1407	468	
